,video_id,publish_at,title,channel_id,description,view_count,trending,like_count,ratings_disabled,dislike_count,comment_count,comments_disabled
0,nyvR-PDy6cg,2020-12-17T10:38:06Z,Física o Química: El reencuentro - Tráiler | Estreno el 27 de diciembre solo en ATRESplayer PREMIUM,UCMSOVP8zZq8BGwAJ2sEtOHw,"'FoQ: El reencuentro' solo en ATRESplayer PREMIUM: https://www.atresplayer.com/series/fisica-o-quimica-el-reencuentro/?so=so:sour-youtube:cn-atresplayerpremium

Si te ha gustado el vídeo, suscríbete a nuestro canal: https://www.youtube.com/channel/UCMSOVP8zZq8BGwAJ2sEtOHw?sub_confirmation=1

La boda de Yoli es el gran evento que reune a los compañeros del Zurbarán. Un evento especial que hace que todos ellos recuerden lo bueno y lo malo de la mejor época de sus vidas. Todos han cambiado con el paso del tiempo, algunos más que otros, como les dicen sus profesoras, aunque algunos de ellos parece que tienen problemas para recordar quienes fueron. O tal vez lo que uno de ellos quiere olvidar es que, en realidad, durante todos estos años ha estado guardando un secreto. Un secreto que le costó una amistad de este grupo de amigos. Un reencuentro es el escenario ideal para recordar sus mejores momentos, limar asperezas y confesar lo que nunca se dijeron. Porque ya se sabe que a los treinta las decisiones que se toman son para siempre.

Hazte Premium y disfruta de todo el contenido:
ATRESplayer Premium: https://account.atresmedia.com/signup?origin=atresplayer
ATRESplayer Internacional: https://suscripcion.atresplayer.com/hazte-premium/internacional/?site=atresplayer&campaign=premium-internacional&promo=1-mes-gratis&formato=youtube&cid=youtubea3ppremium&objetivo=capt

#FoQElReencuentro
#FoQ
#ATRESplayerPREMIUM",246431,1,9326,False,143,683,False
1,QCfBehS1PX4,2020-12-16T19:00:11Z,Galvan Real - Volverte A Ver (Videoclip Oficial),UCWyZhAQdbMHy8q0r5wRMGgA,"""Volverte A Ver''
Perfomed By: Galvan Real

- Videoclip: @visualandfilms
- Productor: Manu Sanchez
- Mastering: Dr. Lopez

Sígueme en redes sociales - Follow me on social networks
Instagram: https://www.instagram.com/galvanreal/
TikTok: http://tiktok.com/@galvanreal
Facebook: https://www.facebook.com/GALVANMUSICA",247932,1,13879,False,257,513,False
2,7Fj8zLwyjC8,2020-12-15T23:03:04Z,Myke Towers - EXTASY (Video Oficial),UCLk8IJ1TwI7Xl7UUfAD8xPQ,"Myke Towers - EXTASY (Video Oficial)

#MykeTowers  #EXTASY #NuevoSencillo

Escucha o descarga: 
https://orcd.co/paramiex


Siguenme en mis redes: 
https://www.instagram.com/myketowers/
https://www.facebook.com/myketowersofficial/",2323282,1,140622,False,1610,3686,False
3,oHmj5xETHEY,2020-12-17T19:59:49Z,The Best FIFA Football Awards™ 2020 | Full Show,UCpcTrCXblq78GZrTUTLWeBw,"** Show starts at 29:45 **

The Best FIFA Football Awards™ 2020 took place on 17 December 2020 as a virtual event in Zurich. 

Countdown: 00:01
Show starts: 29:45
The Best FIFA Women’s Goalkeeper Award: 41:15
The Best FIFA Men’s Goalkeeper Award: 46:55 
The FIFA Puskas Award: 51:50
The Best FIFA Women’s Coach Award: 59:43
The Best FIFA Men’s Coach Award: 1:05:22
The FIFA Fair Play Award: 1:13:40
The FIFA Fan Award: 1:17:55
Christine Sinclair: 1:22:45
FIFA FIFPRO Women’s World11: 1:26:51 
FIFA FIFPRO Men’s World11: 1:31:58
Diego Maradona Tribute: 1:38:10
Paolo Rossi Tribute: 1:50:35
The Best FIFA Women’s Player Award: 1:56:15
The Best FIFA Men’s Player Award: 2:04:38
Outro: 2:11:10

More on #TheBest FIFA Football Awards:
https://www.fifa.com/the-best-fifa-football-awards/ 

Follow the FIFA Football Awards on Facebook:
https://www.facebook.com/FIFAFootballAwards",5212097,1,201729,False,2711,2017,False
4,9WEwKPrjZSg,2020-12-17T22:58:51Z,Natos - DÉJÀ VU Ft. Recycled J,UCq-3_QjeLPs4yAuZEIwvHWg,"Letra: Natos, Recycled J
Música: Pablo Gareta
Guitarra: Jack Sheehan
Mezcla y Máster: Pablo Gareta
Animación: KeCHAVAL Studio

www.natosywaor.com
Instagram: @natos_y_waor / @recycledj
Twitter: @natosywaor / recycled_j",66221,1,13768,False,115,599,False
5,I96S7SxeVV0,2020-12-17T23:00:10Z,HARD GZ & NIKONE - LO REAL (PROD.DUALY),UCayaN-y6-FJ5tuTcIq6iEyA,"Colaboración inédita entre Hard GZ y Nikone, grabado en La Septima por Nudo, beat de Dualy, videoclip por Amaath9lives.


@hardgaliza 
@NIKONE EPK
@dualymusic
@amaath9lives


Agradecimientos a @mambru_lopez y al @hotel_rural_la_posada
Cancion en Spotify: https://open.spotify.com/album/2dWRx8YRn7RFQ4UNdjbeGq?si=C2vfgX16RGSAgiz1AH2Lhw",46987,1,11757,False,57,563,False
6,UYmewNMw_Jk,2020-12-15T18:54:51Z,Rels B - ME OLVIDÉ DE LOS 2 (Video Oficial),UCzmZtDoRh0zRTTuxiw3zJZg,"Official Music Video by Rels B performing Me Olvidé De Los 2
 
Follow RelsB: 
INSTAGRAM: https://www.instagram.com/skinnyflakk/
YOUTUBE: https://www.youtube.com/user/rels9
TWITTER: https://twitter.com/SkinnyFlakk
FACEBOOK: https://www.facebook.com/relsbofficial/",1656764,1,171390,False,976,8735,False
7,wigfqU_J8Oo,2020-12-16T16:23:39Z,Réplica de Pablo Casado a Pedro Sánchez en el Congreso,UCPECDsPyGRW5b5E4ibCGhww,,62841,1,2921,False,286,0,False
8,92xZIHoKSC0,2020-12-17T17:00:02Z,24 Horas VIENDO con LAG “Experimento”,UCNfoPrh2gSZpwijbb9SOKmA,"EXPERIMENTO cómo es VIVIR 24 Horas con LAG 

¡Para viajar virtualmente por todo el mundo usa Ablo! haz clic aquí: https://ablo.to/2ITwrRm

Si te ha gustado el vídeo te invito a darle like, es gratis. Me gustaría saber si os gustan estas misiones en realidad virtual y si queréis mas vídeos así.
Agradecer sobre todo al equipo de Ablo por patrocinar este vídeo y hacer posible esta épica misión. 🖤

🌊 Sígueme en Instagram: @portillx
https://www.instagram.com/portillx/

⚡️ Canal de Marc: 
https://www.youtube.com/marcvilas",174996,1,27902,False,227,1156,False
9,bn8Hu4uQA1U,2020-12-17T19:00:06Z,Puedo Convencerte de que la Astrología es una Ciencia,UCbdSYaPD-lr1kW27UJuk8Pw,"ç̷̺̟̓l̵̙̗̕๓ç̴̠̬̎ñ̴͙̋J̸̘́͗̄́̈͂̈̓̓█ ̸̼̘̠̹͉̀̓͋́͐v̸̨̨̯̪̞̘̩̍̇̚ ḃ̷̛̻̝̣̇̈́́̒͋͋̕ͅ█ ha sido siempre criticada desde las élites intelectuales. Es hora de hablar de la evidencia CIENTÍFICA que la apoya. Preparaos para un vídeo que ningún ultraescéptico podrá refutar.

⚛️No te pierdas ningún vídeo: solo tienes que... SUSCRIBIRTE, ¡es GRATIS!: https://www.youtube.com/user/QuantumFracture
🐦¡Sígueme en TWITTER! https://twitter.com/QuantumFracture
📘¡Y también en FACEBOOK! https://www.facebook.com/QuantumFracture
📸¡Y (sí, como no) también en INSTAGRAM! https://instagram.com/quantumfracture/
🌐¡Nuestra nueva web!  https://quantumfracture.es/

✊¡HAZTE MIEMBRO DE QF! Increíbles ventajas (elegir el tema de un vídeo, directo exclusivo, insignias, emojis...) te esperan https://www.youtube.com/user/QuantumFracture/join 

Gracias a OrbVPN por patrocinar este vídeo.

OrbVPN™ es el conjuro de repulsión de maldiciones que estabas buscando. Visita su página web para más información: https://quantumfracture.es/orbvpn/ 

En este link tenéis TODA la bibliografía citada. NADIE podrá decirte que no estamos documentados en el Círculo Omega: 
https://drive.google.com/file/d/1vWUBkNRtrPuE92s0bX3GUBO0xXw2hOeI/view?usp=sharing 


REFERENCIAS

Texturas Mapa Celeste
Crédito: NASA https://svs.gsfc.nasa.gov/3895

Pesas
Crédito: Red CreaDeporte, flickr.com
https://www.flickr.com/photos/redcreadeporte/10146241733/

Posición de planetas - tablas
Crédito: Nasa/Jet Propulsion Lab https://ssd.jpl.nasa.gov/horizons.cgi#top 

La peste en florencia - Decameron
Crédito: Wellcome images.
https://commons.wikimedia.org/wiki/File:The_plague_of_Florence_in_1348,_as_described_in_Boccaccio%27s_Wellcome_L0004057.jpg

Gripe española - Kansas
Crédito: Armed Forces Institute of Pathology/National Museum of Health and Medicine, distributed via the Associated Press
https://commons.wikimedia.org/wiki/File:Camp_Funston,_at_Fort_Riley,_Kansas,_during_the_1918_Spanish_flu_pandemic.jpg

Las brujas de Zugarramurdi
Crédito: Michael Herr (1650) - Germanisches Nationalmuseum Nuremberg https://commons.wikimedia.org/w/index.php?curid=3750107

Actores y científicos, consultado en: Gauquelin, M.; Gauquelin, F. (1974). The Jupiter Temperament & Actors. Laboratoire d'étude des relations entre rythmes cosmiques et psychophysiologiques.

Electromagnetismo - Oersted
Crédito: Illustrerad vetenskap 10/2011 https://commons.wikimedia.org/w/index.php?curid=38301870 

Epilepsia y cura
Crédito: Wellcome Collection. https://wellcomecollection.org/works/x658suzx

Clase en Universidad de Salamanca. sXVII
Crédito: Martín de Cervera - Public Domain, https://commons.wikimedia.org/w/index.php?curid=8317002

Universidad de Salamanca 
Crédito: De لا روسا , https://commons.wikimedia.org/w/index.php?curid=58239830 


Las animaciones aquí mostradas no pretenden ser precisas, sino mostrar aspectos cualitativos. Tienen propósitos educativos.

-- EL MERCHANDISING DE QUANTUM FRACTURE --

Lámina: EL ÁRBOL DE QUANTUM FRACTURE
https://mastersoflol.com/product/el-arbol-de-quantum-fracture

Lámina: LOS 9 TIPOS DE UNIVERSOS
https://mastersoflol.com/product/los-9-tipos-de-universos 

Lámina: DESMONTANDO EL MODELO DE LA TIERRA PLANA 
https://mastersoflol.com/product/desmontando-el-modelo-de-la-tierra-plana

Lámina: TRAP DEL TERRAPLANISMO
https://mastersoflol.com/product/trap-del-terraplanismo 

Página de MASTERS OF LOL
https://mastersoflol.com/",195006,1,42673,False,472,4221,False
