,video_id,publish_at,title,channel_id,description,view_count,trending,like_count,ratings_disabled,dislike_count,comment_count,comments_disabled
0,VDa4Sh6UADQ,2020-12-17T22:37:48Z,【スマブラSP】セフィロスのつかいかた,UCkH3CcMfqww9RsZvPRPkAJA,"【ウェブサイト】
https://www.smashbros.com/ja_JP/products/dlc.html

【再生リスト:大乱闘スマッシュブラザーズ SPECIAL】
http://www.youtube.com/playlist?list=PLPh3p_yYrx0ALYpBrr4Ny_bdEx2KmYejv

【再生リスト:Nintendo Switch】
http://www.youtube.com/playlist?list=PLPh3p_yYrx0Czy6UCWAg3ZKcCdyt0ztdR

動画に含まれる情報は公開日時点のものです。",587545,1,21078,False,309,0,True
1,bVeUrLlATDI,2020-12-17T06:48:56Z,こどもホスピス～娘と生きる最期の時間～,UCv7_krlrre3GQi79d4guxHQ,"２０１２年大阪に誕生したこども専用のホスピス。
終末期の病気のこどもの緩和ケアを行う全国初の施設です。
６歳の娘の余命を告げられ、ここで過ごすことを決めた家族がいました。
「少しでも長く、家族みんなで一緒に笑顔で過ごしたい」願いはそれだけでした。
平日はお母さんと一緒に買い物、散歩、お料理をして、週末は家族みんなで眠りにつく。
最期の時間をどう「生きるのか」。旅立つまでの記録です。

２０１３年８月２３日放送

＃小児医療　＃小児がん　＃ホスピス　＃淀川キリスト教病院　＃こどもホスピス
＃小児脳幹部グリオーマ　＃鍋谷まこと　＃終末期　＃緩和ケア　＃家族　＃余命",881838,1,9037,False,316,1250,False
2,MxCeaFJBaog,2020-12-17T06:50:01Z,わが子を看取る,UCv7_krlrre3GQi79d4guxHQ,"がんと闘う米田一華ちゃん（４）はパパとママ、妹・千莉ちゃん（２）との４人家族。
弟の誕生も心待ちにしながら病と闘う中、過酷な現実を突きつけられました。
余命３か月。
神戸にある“おうち診療所”を舞台に
取材班は、家族の協力を得て幼い子の看取りまでの家族の葛藤と苦悩、
その果ての決断のすべてを記録しました。
おうち診療所に転院する前は、一華ちゃんは家族と離れての闘病生活を余儀なくされ、
ママは病院の近くにアパートを借り、仕事のあるパパは週末のみしか
一華ちゃんと面会できませんでした。
家族の願いは、「当たり前の日常を家族一緒に送りたい」
「おうち診療所で過ごした３か月の映像から小児医療の充実を訴えて欲しい」
リアルな映像を通して“家族の絆を守る医療の充実”を訴えます。

おうち診療所「チャイルド・ケモ・ハウス」→http://www.kemohouse.jp/

2018年7月19日放送

＃小児医療　＃小児がん　＃難病　#余命　#入院生活　#闘病環境　#感染症　#神経芽腫
#腫瘍　＃家族　#おうち診療所　#医師　#看護師　#神戸市　＃チャイケモ
＃家族の絆　＃一華ちゃん　#４歳　#妹　#弟　#赤ちゃん　#わが子　＃看取る
#ＡＹＡ世代　#楠木重範　#リアル　#映像　＃安心して生きられる社会づくり",1779924,1,21066,False,428,2180,False
3,2ViKqiDUJ1I,2020-12-17T09:00:04Z,"【大パニック】ヤスタケの彼女が有名YouTuber""もえりん""だった【サプライズドッキリ】",UC642pLj4GXSj-0Ybdx3ytmA,"もえりんさんとのコラボ動画はこちら
https://youtu.be/Jd-RYIL5m84

もえりんさんのチャンネルはこちら
https://www.youtube.com/channel/UCMFDhI-zeWRzLMCdxFnlw9A

※緊急事態宣言解除後の撮影につきまして
検温・手指の消毒の義務化や換気の徹底など感染拡大の防止対策に取り組んだ上で撮影を行なっております。

吉本興業所属のキングコング梶原が、新米Youtuberカジサックとなって色んなことを学ぶチャンネルです。毎週火曜、木曜、土曜、日曜の18時を目安に動画をアップしています。
※他の曜日もアップされる可能性もあります。

★復活したTwitterアカウントはこちら！
https://twitter.com/kajisac_onashas

カジサック公式アプリ「カジサックの楽屋」のインストールはこちらから！
▼iOS
https://apps.apple.com/app/id1473420400
▼Android
https://play.google.com/store/apps/details?id=com.c_rayon.kajisac

★カジサックのLINEスタンプはこちら
https://line.me/S/sticker/7343752

★カジサック&ヨメサックのinstagramはこちら
https://www.instagram.com/kajisac_yomesac/

★ちょっとでも面白かったらぜひチャンネル登録をお願いします！
→  http://www.youtube.com/channel/UC642pLj4GXSj-0Ybdx3ytmA?sub_confirmation=1

サブチャンネル（「カジサック の小部屋」）はこちら
→ http://www.youtube.com/channel/UCdEpbrlHoqnUGMRy2LICtRw?sub_confirmation=1
カジサックのゲーム部屋はこちら
→https://www.youtube.com/channel/UCaweVLFU1fA7C3HQwmQNLDA

TikTok ：@カジサック【YouTuber】

カジサックの冠番組『カジサックのじゃないと！』HPはこちら
http://www.kkt.jp/program/janight/
番組公式Twitterはこちら
https://twitter.com/k_janight
TVerとhuluでも見逃し配信中！
Tver：https://tver.jp/feature/f0048217
hulu：https://www.hulu.jp/kajisac-no-ja-night

#カジサック #KAJISAC #吉本自宅劇場 #カジサックの部屋 #KAJISACROOM #OmO #吉本興業

ーーーー
カジサック の人気動画５選

１。　Nonstyleの石田さんと語りました
　　　https://www.youtube.com/watch?v=wDgh3nc4Yds

２。　丸一日ママになってみました
　　　https://www.youtube.com/watch?v=rxddtDfnIB0

３。　同期の南海キャンディーズ山ちゃんとガチンコトーク
　　　https://www.youtube.com/watch?v=M2G6gkWDsqU

４。　【大事故】タメ口ドッキリを仕掛けたらココリコ遠藤さんにガチでキレられました
https://www.youtube.com/watch?v=IY3BpJ-H1wY",614813,1,12563,False,625,1660,False
4,QQgoF_wsrTc,2020-12-17T07:00:12Z,モンストニュース[12/17]期間限定イベントや獣神化など、モンストの最新情報をお届けします！【モンスト公式】,UCd9BXPj-KcMTh0HiB-Vlb8A,"おしながき
1. おさらい！明日新爆絶「阿鼻」が降臨！
2. 新たな超絶・廻が降臨するぞ！
3. 期間限定イベント「モンストクリスマス2020」
4. 獣神化情報もってまいりました〜！
5. ルシファー獣神化シーンのジグソーパズルなどグッズぞくぞく！
6. B.LEAGUE 千葉ジェッツ 結果情報＆次節のお知らせ！

■12/23（水）20:00〜 生電話！こに☆たちサンタ！
クリスマスライブ配信応募フォーム
当日、生電話でご出演いただける方を募集中！みなさんのお悩みを解決できるかも！？
https://forms.gle/2RtksdQQA3Um7nWc8

----------------
モンストニュースはモンスト公式YouTubeチャンネルにて配信中！

※営利目的による、本動画内の文章・画像等をはじめとした内容を引用元の記載無く無断転載及び複製等の行為はご遠慮ください。

モンスト公式YouTubeチャンネルでは、獣神化やガチャ情報、さらに蓬莱・シュリンガーラといった爆絶や、轟絶などで降臨するモンスターの最新情報など、様々なモンスト動画を配信中！
---------------

---------------

▼モンストアプリのダウンロードはこちら
・Android版
https://play.google.com/store/apps/details?id=jp.co.mixi.monsterstrike

・iOS版
https://itunes.apple.com/jp/app/monsutasutoraiku/id658511662?mt=8

▼モンスト公式YouTubeチャンネル登録はこちら
https://www.youtube.com/user/monsterstrikepr

★モンスターストライク（モンスト）とは？  
「モンスト」は、モンスターを指でひっぱって弾くだけの簡単操作で遊べる爽快アクションRPGアプリ！

▼モンスト公式サイト
http://www.monster-strike.com/

▼モンスト公式Twitter
https://twitter.com/monst_mixi

▼モンストアニメ公式YouTubeチャンネル
https://www.youtube.com/c/AnimeMonsterstrike

---------------
　
★XFLAGの中の人とは？ 
XFLAGスタジオ配信のゲームアプリの動画に出演し、ゲームアプリの魅力をユーザーさんに伝える仕事をしている XFLAGスタジオの運営スタッフです。

☆えくふらチャンネルもあるよ☆
https://www.youtube.com/channel/UCcRj3pRCMea0HoXhPksLn4A

　▼さなぱっちょ（XFLAGの中の人）
　https://twitter.com/monst_sanapacho

　▼ぱなえ（XFLAGの中の人）
　https://twitter.com/monst_panaee

　▼さしみ（XFLAGの中の人）
　https://twitter.com/monst_sashimii

　▼りえっくす（XFLAGの中の人）
　https://twitter.com/monst_riex

　▼ベイビーかわけ（XFLAGの中の人）
　https://twitter.com/xflag_kawake

　▼ちゃす（XFLAGの中の人）
　https://twitter.com/monst_chas

　▼ゆきのしん（XFLAGの中の人）
　https://twitter.com/xflag_yukinosin

　▼たけちょり（XFLAGの中の人）
　https://twitter.com/xflag_takechori

---------------

　▼XFLAG STORE ONLINE
　https://store-direct.xflag.com/

　▼XFLAG STORE SHIBUYA 公式サイト
　https://store.xflag.com/shibuya/

　▼XFLAG STORE SHINSAIBASHI 公式サイト
　https://store.xflag.com/shinsaibashi/


#モンストニュース#最新情報",530955,1,4559,False,918,1026,False
5,potzGRQNAT4,2020-12-17T11:00:14Z,全グループ対抗！特別企画【運動能力テスト】Travis Japan,UC1cHlPIE-kqiPvpyYz2O8rQ,"どうも、トラジャことTravis Japanです！
今回は、年末スペシャル！曜日横断特別企画「全グループ対抗の運動能力テスト!!!!!!!」
ということでジャニーズJr.で一番 運動能力のあるグループはどこかなのか、という対決に挑戦しました（値）

全グループ対抗！特別企画【運動能力テスト】少年忍者
https://youtu.be/09uneBo-H_M

握力、10m走、息止め、立ち幅跳びなどなど、色々な種目に全力で挑戦しました！
もちろん超？全力でやらさせていただきました！だって、優勝した時のご褒美がスゴイのなんのって！！

ともかく！今出せる力は全て出し切って挑みました！
でもまぁ僕たちなんで、所々フニャッとしちゃってますが、挑む僕たちの勇姿、勝敗に関係なく応援していただけたら幸です！！！

★ 前回のTravis Japan動画はこちら！
https://youtu.be/9jYaTYRqSfc

★ Travis Japan 再生リスト【木曜更新】
https://goo.gl/g2FYzN

★ チャンネル登録はこちら !
https://goo.gl/u8cJ1h

★Travis Japan Instagram
https://www.instagram.com/travis_japan_official/

★twitter
https://twitter.com/J_Jr_Ch

★ Johnny's net
http://www.johnnys-net.jp/

#全グループ対抗運動能力テスト #優勝賞品がガチですごい  #TravisJapan",316802,1,0,True,0,3771,False
6,R8N5ozu99U8,2020-12-16T10:30:23Z,ショークラブで働くてんちむにチップ100万円を投げ銭してみた,UCaminwG9MTO4sLYeC3s6udA,"てんちむのチャンネルはこちら！
https://www.youtube.com/channel/UCXzU-b8I0Y_fhMkLQMYt3vA

ヒカルが愛用してる洋服ReZARDの購入はこちらから！
https://rezard.jp/

ReZARD×ロコンドの靴の購入はこちら！
https://www.locondo.jp/shop/contents/special-ReZARD_200402?top_special=hkr_2009

脱毛サロン予約URL
https://rejehanne.jp/

脱毛サロンのコスメURL
https://onpamall.com/store/rejehanne

脱毛サロンのインスタURL
https://www.instagram.com/rejehanne_byhikaru/?hl=ja

脱毛サロンのツイッターURL
https://twitter.com/rejehanne

脱毛サロンの求人募集はこちら！
https://kirei-job.jp/index.php?app_controller=info&type=mid&id=J0000157

★チャンネル登録はこちら
https://www.youtube.com/channel/UCaminwG9MTO4sLYeC3s6udA?sub_confirmation=1

「ReZARD」に関する情報は下のTwitterでお知らせします。
それとDM解放してるので質問などあればそこでお願いします。
https://twitter.com/Rezard_official

ヒカルの公式サイトはこちら
https://hikaruchannel.net/

★プレゼントや手紙の送り先はこちらになります！
〒100-0005 東京都千代田区丸の内 1-6-5
      丸の内北口ビルディングWeWork 8階
株式会社サムライパートナーズ　ヒカル宛

曲をまとめて聞きたい方はこちらから！
https://www.youtube.com/watch?v=yrXuKm6JtYA&list=PLcxHm0kSGuEBGW8gmYNOM-2Ah1B9t6Gax

【Twitterアカウント】
★ヒカルのTwitter
https://twitter.com/kinnpatuhikaru

★まえっさんのTwitterはこちら
https://twitter.com/1chan_maessan

★名人のTwitterはこちら
https://twitter.com/1chan_meijin

★ロケマサのTwitterはこちら
https://twitter.com/1chan_rokemasa

★ヒカルのゲーム実況チャンネル
https://www.youtube.com/user/kinnpatuhikaru

★ヒカルの公式Twitterはこちら（動画通知、お知らせ等）
https://twitter.com/hikaru2nd1031

★ヒカルのインスタグラム
https://www.instagram.com/tadanokarisuma/

★ReZARDの公式インスタグラム
https://www.instagram.com/rezard.official/

★ヒカルへの仕事のお問い合わせはこちら
info@hikaruchannel.net

マネージャー高橋のDMまでお願いします。
https://twitter.com/takahashisan69

#ヒカル#てんちむ",1985920,1,45637,False,4419,3929,False
7,wq_toC0FczQ,2020-12-17T10:00:16Z,出産頑張ったあやなんに好きなだけお買い物させてあげる旅💸💰in原宿💓💓,UColoXxvhfz54o0icqQRPzYw,"いつも動画見てくれてありがとうございます♡
ぜひチャンネル登録お願いします（＾＾）

【サブチャンネル】

「しばなんといっしょ」でゆるい日常を公開中！
ぜひチャンネル登録してね！！！
→https://www.youtube.com/channel/UCAne8GG-iUcTzUkpQG4N7jw

【問い合わせ】
お仕事依頼、イベント出演依頼等は下記の
アドレスへお願い致します。
→shibanan.channel@gmail.com

【twitterアカウント】
あやなん → https://twitter.com/ayachan0619
しばゆー Twitter → https://twitter.com/UKUN_PAPA

【instagramアカウント】
あやなん→https://www.instagram.com/ayachan_0619

【ファンレター宛先】
〒150-0031
東京都渋谷区桜丘町20-1
渋谷インフォスタワー17階株式会社Kiii
あやなんorしばなんチャンネル宛",406874,1,12073,False,340,630,False
8,f65o88gO7oc,2020-12-17T09:23:07Z,セイキン夫婦のMEGAドンキデート,UCg4nOl7_gtStrLwF0_xoV0A,"【チャンネル登録】してね！！
▼SeikinTV チャンネル登録　　
https://www.youtube.com/user/seikintv?sub_confirmation=1

▼SeikinGames チャンネル登録
https://www.youtube.com/user/seikingames?sub_confirmation=1

▼セイキン公式Twitter
http://twitter.com/SeikinTV

▼セイキン公式Instagram(インスタグラム)
https://www.instagram.com/seikin_official/

▼お仕事のご依頼、お問い合わせ等は下記、UUUM株式会社までお願いいたします。
https://www.uuum.co.jp/inquiry_promotion

▼BGM 楽曲提供
Production Music by http://www.epidemicsound.com
http://dova-s.jp/

#プライベート #休日 #デート",276529,1,8768,False,227,331,False
9,n5ucYlHQkTA,2020-12-16T11:00:12Z,【#7 ガチンコ ザ ホルモン2】「俺ならこう歌う選手権!!後編」謎の男とレジェンド3人ガチ歌公開！亮君によるホルモン原曲メロディも解禁！,UCfU3NQNTobdTMG5sehBl1vg,"▽再生リスト“ガチンコ ザ ホルモン～コッテリ、の　その先へ～“はこちら！
https://www.youtube.com/playlist?list...

▽バンドフランチャイズ制導入に伴う、コロナナモレモモ(マキシマム ザ ホルモン2号店)結成の軌跡に密着したオーディション番組“ガチンコ ザ ホルモン～コッテリの継承者たち～”はこちら！
https://www.youtube.com/playlist?list...

▽バンドフランチャイズの詳細はこちら
http://www.55mth.com/2019mthfranchise...


＝＝＝ホルモンの最新情報はこちら＝＝＝

▽マキシマム ザ ホルモン公式サイト
http://www.55mth.com/

▽マキシマム ザ ホルモン公式twitter
https://twitter.com/MTH_OFFICIAL

▽マキシマム ザ ホルモン公式Instagram
https://www.instagram.com/mth_officia...

▽マキシマム ザ ホルモン公式LINE
http://line.naver.jp/ti/p/@mthline

▽マキシマム ザ ホルモン公式Facebook
https://www.facebook.com/mthofficial

▽コロナナモレモモ公式サイト
https://www.cottelee.com/

▽コロナナモレモモ公式twitter
https://twitter.com/mth_cottelee

▽コロナナモレモモ公式instagram
https://www.instagram.com/mth_cottelee/",506686,1,0,True,0,875,False
