,video_id,publish_at,title,channel_id,description,category_id,view_count,trending,like_count,ratings_disabled,dislike_count,comment_count,comments_disabled
0,VDa4Sh6UADQ,2020-12-17T22:37:48Z,【スマブラSP】セフィロスのつかいかた,UCkH3CcMfqww9RsZvPRPkAJA,"【ウェブサイト】
https://www.smashbros.com/ja_JP/products/dlc.html

【再生リスト:大乱闘スマッシュブラザーズ SPECIAL】
http://www.youtube.com/playlist?list=PLPh3p_yYrx0ALYpBrr4Ny_bdEx2KmYejv

【再生リスト:Nintendo Switch】
http://www.youtube.com/playlist?list=PLPh3p_yYrx0Czy6UCWAg3ZKcCdyt0ztdR

動画に含まれる情報は公開日時点のものです。",20,1390603,1,30839,False,510,0,True
1,bVeUrLlATDI,2020-12-17T06:48:56Z,こどもホスピス～娘と生きる最期の時間～,UCv7_krlrre3GQi79d4guxHQ,"２０１２年大阪に誕生したこども専用のホスピス。
終末期の病気のこどもの緩和ケアを行う全国初の施設です。
６歳の娘の余命を告げられ、ここで過ごすことを決めた家族がいました。
「少しでも長く、家族みんなで一緒に笑顔で過ごしたい」願いはそれだけでした。
平日はお母さんと一緒に買い物、散歩、お料理をして、週末は家族みんなで眠りにつく。
最期の時間をどう「生きるのか」。旅立つまでの記録です。

２０１３年８月２３日放送

＃小児医療　＃小児がん　＃ホスピス　＃淀川キリスト教病院　＃こどもホスピス
＃小児脳幹部グリオーマ　＃鍋谷まこと　＃終末期　＃緩和ケア　＃家族　＃余命",25,1498271,1,15032,False,493,2105,False
2,MxCeaFJBaog,2020-12-17T06:50:01Z,わが子を看取る,UCv7_krlrre3GQi79d4guxHQ,"がんと闘う米田一華ちゃん（４）はパパとママ、妹・千莉ちゃん（２）との４人家族。
弟の誕生も心待ちにしながら病と闘う中、過酷な現実を突きつけられました。
余命３か月。
神戸にある“おうち診療所”を舞台に
取材班は、家族の協力を得て幼い子の看取りまでの家族の葛藤と苦悩、
その果ての決断のすべてを記録しました。
おうち診療所に転院する前は、一華ちゃんは家族と離れての闘病生活を余儀なくされ、
ママは病院の近くにアパートを借り、仕事のあるパパは週末のみしか
一華ちゃんと面会できませんでした。
家族の願いは、「当たり前の日常を家族一緒に送りたい」
「おうち診療所で過ごした３か月の映像から小児医療の充実を訴えて欲しい」
リアルな映像を通して“家族の絆を守る医療の充実”を訴えます。

おうち診療所「チャイルド・ケモ・ハウス」→http://www.kemohouse.jp/

2018年7月19日放送

＃小児医療　＃小児がん　＃難病　#余命　#入院生活　#闘病環境　#感染症　#神経芽腫
#腫瘍　＃家族　#おうち診療所　#医師　#看護師　#神戸市　＃チャイケモ
＃家族の絆　＃一華ちゃん　#４歳　#妹　#弟　#赤ちゃん　#わが子　＃看取る
#ＡＹＡ世代　#楠木重範　#リアル　#映像　＃安心して生きられる社会づくり",25,2782646,1,33418,False,633,3273,False
3,w6EyqI1reEQ,2020-12-18T03:00:08Z,『滝沢歌舞伎 ZERO 2020 The Movie』オリジナル映画鑑賞マナー映像②,UCulneJtjMARpEHhWQTlGa6w,"『滝沢歌舞伎 ZERO 2020 The Movie』大ヒット上映中！

Eternal producer：ジャニー喜多川
監督：滝沢秀明
振付：五関晃一（A.B.C-Z)
出演：Snow Man（岩本照、深澤辰哉、ラウール、渡辺翔太、向井康二、阿部亮平、目黒蓮、宮舘涼太、佐久間大介）
　　　佐藤新、影山拓也、鈴木大河、基俊介、椿泰我、横原悠毅、松井奏、小田将聖／ジャニーズJr.
企画・配給：松竹
©2020「滝沢歌舞伎 ZERO 2020 The Movie」製作委員会

公式HP：https://movies.shochiku.co.jp/takizawakabuki-zero-movie/
公式Twitter：https://twitter.com/tkz2020_movie
公式Instagram：https://www.instagram.com/tkz2020_movie/

#滝沢歌舞伎ZERO2020 #SnowMan
#滝沢秀明 #五関晃一",24,159292,1,17606,False,69,0,True
4,potzGRQNAT4,2020-12-17T11:00:14Z,全グループ対抗！特別企画【運動能力テスト】Travis Japan,UC1cHlPIE-kqiPvpyYz2O8rQ,"どうも、トラジャことTravis Japanです！
今回は、年末スペシャル！曜日横断特別企画「全グループ対抗の運動能力テスト!!!!!!!」
ということでジャニーズJr.で一番 運動能力のあるグループはどこかなのか、という対決に挑戦しました（値）

全グループ対抗！特別企画【運動能力テスト】少年忍者
https://youtu.be/09uneBo-H_M

握力、10m走、息止め、立ち幅跳びなどなど、色々な種目に全力で挑戦しました！
もちろん超？全力でやらさせていただきました！だって、優勝した時のご褒美がスゴイのなんのって！！

ともかく！今出せる力は全て出し切って挑みました！
でもまぁ僕たちなんで、所々フニャッとしちゃってますが、挑む僕たちの勇姿、勝敗に関係なく応援していただけたら幸です！！！

★ 前回のTravis Japan動画はこちら！
https://youtu.be/9jYaTYRqSfc

★ Travis Japan 再生リスト【木曜更新】
https://goo.gl/g2FYzN

★ チャンネル登録はこちら !
https://goo.gl/u8cJ1h

★Travis Japan Instagram
https://www.instagram.com/travis_japan_official/

★twitter
https://twitter.com/J_Jr_Ch

★ Johnny's net
http://www.johnnys-net.jp/

#全グループ対抗運動能力テスト #優勝賞品がガチですごい  #TravisJapan",24,442621,1,0,True,0,4051,False
5,2ViKqiDUJ1I,2020-12-17T09:00:04Z,"【大パニック】ヤスタケの彼女が有名YouTuber""もえりん""だった【サプライズドッキリ】",UC642pLj4GXSj-0Ybdx3ytmA,"もえりんさんとのコラボ動画はこちら
https://youtu.be/Jd-RYIL5m84

もえりんさんのチャンネルはこちら
https://www.youtube.com/channel/UCMFDhI-zeWRzLMCdxFnlw9A

※緊急事態宣言解除後の撮影につきまして
検温・手指の消毒の義務化や換気の徹底など感染拡大の防止対策に取り組んだ上で撮影を行なっております。

吉本興業所属のキングコング梶原が、新米Youtuberカジサックとなって色んなことを学ぶチャンネルです。毎週火曜、木曜、土曜、日曜の18時を目安に動画をアップしています。
※他の曜日もアップされる可能性もあります。

★復活したTwitterアカウントはこちら！
https://twitter.com/kajisac_onashas

カジサック公式アプリ「カジサックの楽屋」のインストールはこちらから！
▼iOS
https://apps.apple.com/app/id1473420400
▼Android
https://play.google.com/store/apps/details?id=com.c_rayon.kajisac

★カジサックのLINEスタンプはこちら
https://line.me/S/sticker/7343752

★カジサック&ヨメサックのinstagramはこちら
https://www.instagram.com/kajisac_yomesac/

★ちょっとでも面白かったらぜひチャンネル登録をお願いします！
→  http://www.youtube.com/channel/UC642pLj4GXSj-0Ybdx3ytmA?sub_confirmation=1

サブチャンネル（「カジサック の小部屋」）はこちら
→ http://www.youtube.com/channel/UCdEpbrlHoqnUGMRy2LICtRw?sub_confirmation=1
カジサックのゲーム部屋はこちら
→https://www.youtube.com/channel/UCaweVLFU1fA7C3HQwmQNLDA

TikTok ：@カジサック【YouTuber】

カジサックの冠番組『カジサックのじゃないと！』HPはこちら
http://www.kkt.jp/program/janight/
番組公式Twitterはこちら
https://twitter.com/k_janight
TVerとhuluでも見逃し配信中！
Tver：https://tver.jp/feature/f0048217
hulu：https://www.hulu.jp/kajisac-no-ja-night

#カジサック #KAJISAC #吉本自宅劇場 #カジサックの部屋 #KAJISACROOM #OmO #吉本興業

ーーーー
カジサック の人気動画５選

１。　Nonstyleの石田さんと語りました
　　　https://www.youtube.com/watch?v=wDgh3nc4Yds

２。　丸一日ママになってみました
　　　https://www.youtube.com/watch?v=rxddtDfnIB0

３。　同期の南海キャンディーズ山ちゃんとガチンコトーク
　　　https://www.youtube.com/watch?v=M2G6gkWDsqU

４。　【大事故】タメ口ドッキリを仕掛けたらココリコ遠藤さんにガチでキレられました
https://www.youtube.com/watch?v=IY3BpJ-H1wY",24,773369,1,13378,False,741,1738,False
6,oS0m8SGP3Rg,2020-12-18T01:23:13Z,"【天才の根源】本を発売したので2,300万円の宣伝カー作ってみた",UC1xd0cAOryAMTTG34joEgdg,"長い時間をかけて僕のありったけを詰め込んだのでぜひ手にとっていただけると嬉しいです！
過去のこと何もかも出し尽くしてしまったので２とかないと思います！！
感想はTwitterで #天才の根源 で投稿してくれたら見させてもらいます！！
動画内で触れた特典等の詳細情報は下から！

12/21(月)オンラインイベントのチケットはこちらから。金属カード付きも販売中！イベント終了後も、12/24(木)まで購入できます
https://kadokawa-ipccontents.zaiko.io/_item/333299

書店の購入特典はこちらから。
※なくなり次第終了になりますのでご了承ください
https://twitter.com/kadokawa_ls/status/1322137915753783296?s=21

天才の根源
https://www.amazon.co.jp/dp/4040647807

東海オンエアてつやの個人チャンネル
【動画アップロードチャンネル】へようこそ。
サブチャンネルにもならない程度のクソ動画を垂れ流していくチャンネルです。
一切の期待と低評価を禁じます。
チャンネル登録よろしくお願いします。


東海オンエア メインチャンネル
https://www.youtube.com/user/TokaiOnAir

東海オンエア サブチャンネル「東海オンエアの控え室」
https://www.youtube.com/user/TokaiHikaesitsu

【てつやのTwitter】
https://twitter.com/TO_TETSUYA

【てつやのInstagram】
https://www.instagram.com/to_tetsuya",24,227785,1,5928,False,211,948,False
7,QQgoF_wsrTc,2020-12-17T07:00:12Z,モンストニュース[12/17]期間限定イベントや獣神化など、モンストの最新情報をお届けします！【モンスト公式】,UCd9BXPj-KcMTh0HiB-Vlb8A,"おしながき
1. おさらい！明日新爆絶「阿鼻」が降臨！
2. 新たな超絶・廻が降臨するぞ！
3. 期間限定イベント「モンストクリスマス2020」
4. 獣神化情報もってまいりました〜！
5. ルシファー獣神化シーンのジグソーパズルなどグッズぞくぞく！
6. B.LEAGUE 千葉ジェッツ 結果情報＆次節のお知らせ！

■12/23（水）20:00〜 生電話！こに☆たちサンタ！
クリスマスライブ配信応募フォーム
当日、生電話でご出演いただける方を募集中！みなさんのお悩みを解決できるかも！？
https://forms.gle/2RtksdQQA3Um7nWc8

----------------
モンストニュースはモンスト公式YouTubeチャンネルにて配信中！

※営利目的による、本動画内の文章・画像等をはじめとした内容を引用元の記載無く無断転載及び複製等の行為はご遠慮ください。

モンスト公式YouTubeチャンネルでは、獣神化やガチャ情報、さらに蓬莱・シュリンガーラといった爆絶や、轟絶などで降臨するモンスターの最新情報など、様々なモンスト動画を配信中！
---------------

---------------

▼モンストアプリのダウンロードはこちら
・Android版
https://play.google.com/store/apps/details?id=jp.co.mixi.monsterstrike

・iOS版
https://itunes.apple.com/jp/app/monsutasutoraiku/id658511662?mt=8

▼モンスト公式YouTubeチャンネル登録はこちら
https://www.youtube.com/user/monsterstrikepr

★モンスターストライク（モンスト）とは？  
「モンスト」は、モンスターを指でひっぱって弾くだけの簡単操作で遊べる爽快アクションRPGアプリ！

▼モンスト公式サイト
http://www.monster-strike.com/

▼モンスト公式Twitter
https://twitter.com/monst_mixi

▼モンストアニメ公式YouTubeチャンネル
https://www.youtube.com/c/AnimeMonsterstrike

---------------
　
★XFLAGの中の人とは？ 
XFLAGスタジオ配信のゲームアプリの動画に出演し、ゲームアプリの魅力をユーザーさんに伝える仕事をしている XFLAGスタジオの運営スタッフです。

☆えくふらチャンネルもあるよ☆
https://www.youtube.com/channel/UCcRj3pRCMea0HoXhPksLn4A

　▼さなぱっちょ（XFLAGの中の人）
　https://twitter.com/monst_sanapacho

　▼ぱなえ（XFLAGの中の人）
　https://twitter.com/monst_panaee

　▼さしみ（XFLAGの中の人）
　https://twitter.com/monst_sashimii

　▼りえっくす（XFLAGの中の人）
　https://twitter.com/monst_riex

　▼ベイビーかわけ（XFLAGの中の人）
　https://twitter.com/xflag_kawake

　▼ちゃす（XFLAGの中の人）
　https://twitter.com/monst_chas

　▼ゆきのしん（XFLAGの中の人）
　https://twitter.com/xflag_yukinosin

　▼たけちょり（XFLAGの中の人）
　https://twitter.com/xflag_takechori

---------------

　▼XFLAG STORE ONLINE
　https://store-direct.xflag.com/

　▼XFLAG STORE SHIBUYA 公式サイト
　https://store.xflag.com/shibuya/

　▼XFLAG STORE SHINSAIBASHI 公式サイト
　https://store.xflag.com/shinsaibashi/


#モンストニュース#最新情報",20,572374,1,4662,False,938,1067,False
8,8fWnBKNOjAc,2020-12-17T06:50:46Z,おうち診療所×大病院　小児医療の新しいカタチ,UCv7_krlrre3GQi79d4guxHQ,"「中学の卒業式に出席したい」悪性リンパ腫を患い抗がん剤の副作用で
生死の境をさまよう１４歳の少女の願いです。
その後、出会ったおうち診療所で家族と一緒に暮らせるようになったことで
少女は笑顔と気力を取り戻します。

一方、おうち診療所には壁が立ちはだかっていました。
「家族滞在を前提とするおうちのよう部屋は、
前例がないため治療をする“病室”とは認められない」
それは入院による診療報酬が入らず、家族の金銭的負担が増すことを意味します。

子どもと家族の精神的・金銭的負担を減らす医療の充実を全国に広げていきたい
おうち診療所の医師は、壁を乗り越えるため行動を起こします。

小さな診療所と大病院がタッグを組んで治療にあたる小児医療の新しいカタチとはー

おうち診療所「チャイルド・ケモ・ハウス」→http://www.kemohouse.jp/

2015年3月18日放送

＃小児医療　＃小児がん　＃難病　#闘病環境　#入院生活　#車いす
#感染症　#１４歳　#医学　#専門医　#看護師　#チーム　#悪性リンパ腫
#中学校　#卒業式　#加東市　#神戸市　#おうち診療所　＃チャイケモ
＃兵庫県立こども病院　＃家族の絆　#ＡＹＡ世代　#楠木重範
＃安心して生きられる社会づくり",25,326038,1,1671,False,71,112,False
9,s0JwoaG8YlU,2020-12-17T09:00:15Z,関西の心霊スポット20カ所行脚+1！最期の内田さん家大突撃で驚愕の新事実と衝撃の展開！,UCL4NX3B5v_gYc5XXWSTcpMA,"ゾゾゾ セカンドシーズン(全24回)
第17(Extra)回「心霊スポット20カ所行脚+1！最期の内田さん家」

ゾゾゾとは、心霊スポットや恐怖ゾーンといった日本全国のゾゾゾスポットをレポートして、ホラーポータルサイトを作るという壮大な目標を掲げたホラーエンタテイメント番組です。ゾゾゾはあなたからのゾゾゾスポットの情報をお待ちしております。レポートしてほしい場所があったらぜひ教えてください。

ホラーエンタテイメント番組「ゾゾゾ」
メインパーソナリティ／落合
スタッフ／内田
ディレクター・カメラ・編集／皆口

公式ホラー情報発信ブログ
https://zozozo.jp

Twitterで最新情報やオフショット更新中！
https://twitter.com/ChZozozo

Instagramで心霊スポットの写真を更新中！
https://www.instagram.com/zozozo_photos/

[※]ゾゾゾは探索や肝試しを推奨している動画ではありません。探索や肝試しは自己責任です。トラブル等の全ての責任は一切負いかねます。

#ゾゾゾ #セカンドシーズン #内田さん家",24,303815,1,10116,False,280,938,False
