,video_id,publish_at,title,channel_id,description,view_count,trending,like_count,ratings_disabled,dislike_count,comment_count,comments_disabled
0,RUSg17MxL7M,2020-12-16T20:30:42Z,24 HORAS CON JUKILOP 🤯 EL SÚPER TRUCHA,UCrRA_qpW3eQ4vfuwBCr7JMw,"HOLA TRUCHITAS GRACIAS POR VOLVER A VERME SE QUE ES ALGO FACIL ;) COMENTA QUE MAS QUIERES VER EN ESTA PECERA  


Te dejo mis redes🐟 

🐟 INSTAGRAM: https://www.instagram.com/elsupertruc...
🐟 FACEBOOK: https://www.facebook.com/profile.php?...
🐟 YOUTUBE: https://www.youtube.com/c/ElSuperTrucha

CONTACTO PARA VENDERME VILMENTE A LAS MARCAS: ELSUPERTRUCHA@GMAIL.COM 

Recuerda yo soy el verdadero pretty boy.",2641795,1,246766,False,3392,7828,False
1,Phe9DamSwPE,2020-12-17T05:49:05Z,¡CRUZAZULEADA! CARLOS VELA ELIMINÓ A CRUZ AZUL | LAFC 2-1 Cruz Azul,UCUf4RLsG_TsjinvtL2jT-VA,"Al menos, ya terminó el 2020 para Cruz Azul... con sendos fracasos en Liga MX y ahora en la #LigaCampeonesxFOX 

¡Carlos Vela y LAFC a semis ante América!  2-1 final",1347962,1,10803,False,948,2919,False
2,IhMnaeM2gn0,2020-12-17T00:59:49Z,SORPRESA A MONT | NO ME LO ESPERABA☁️❤️,UCO7d7xNYs1qRF9fQO3OOsvQ,,937761,1,136563,False,1493,5298,False
3,9olKqywifHo,2020-12-16T17:00:10Z,Hércules HD | Destripando la Historia,UCxIBZ-nQhgZES3UaTm8eDPA,"¿Sabías que la historia de Hércules no tiene nada que ver con la de la película que todos conocemos? ¡Disney nos ha engañado! ¡Descubre cómo es en realidad en esta divertida canción en un nuevo episodio de Destripando la Historia!

¡Suscríbete a nuestro canal!
http://bit.ly/pascuyrodri

¡Escucha esta y otras canciones en Spotify!
https://spoti.fi/2SY6zni

Enlace España: https://amzn.to/3j2Ix6H
Otros países: ¡En México lo podéis encontrar ya en eBook y saldrá a la venta en formato físico en febrero!

¡Consigue todas nuestras camisetas en Teespring!
https://www.teespring.com/stores/destripandolahistoria

También tenéis nuestros libros, chapas y alguna camiseta en nuestra tienda online, para envíos SOLO a España peninsular:
https://www.destripandolahistoria.es


¡Seguidnos en las redes sociales!
https://www.facebook.com/destripandolahistoria
https://www.instagram.com/destripandolahistoria

https://twitter.com/RodrigoSeptien
http://instagram.com/rodrigoseptienmusic
https://twitter.com/var_Stark

Hola!!!!
Igual que el año pasado, este mes os traemos una megaremasterización de uno de nuestros clásicos, Hércules. Y diréis, debería llamarse Heracles... pues sí, para los griegos era Heracles, pero como hicimos la canción hace 3 años y nunca pensamos que llegaríamos a hacer más dioses pues... ahí se quedó. Es el mismo, así que no pasa nada :)
Esta vez hemos querido regrabar la canción por completo a excepción de las voces, así que tenéis una versión totalmente nueva que esperemos que disfrutéis. Os dejamos por aquí todos los musicazos que han participado:
Batería: Guille Cortés.
Bajo: Mario de la Calle.
Teclados y arreglos: Alberto Torres.
Cuerdas: Lourdes Rosales.
Trombón: Marcos Crespo.
Trompeta: Iván del Castillo.
Trompeta: Alejandro Serrano.
Coros: Milena Brody, Sara Perez.
Grabación y mezcla: Adrián Hidalgo, Lasting Noise.",2825137,1,379411,False,4915,22668,False
4,x7KzPE21WGo,2020-12-17T03:00:06Z,24 HORAS SIENDO NOVIA DEL CHORE PARTE 2,UCZT3t5TDPvvvVCM-o6hYWWA,"Bienvenidos a mi canal espero les guste este video suscríbanse y dejen su bonito like los quiero C:
CANAL DE MARCOS https://www.youtube.com/channel/UCPQH1ftZ6ENmARn7thQ9cQg
CANAL DE CHORE https://www.youtube.com/channel/UC4RDMd1hUi19c6uDz-7ZXeA

INSTAGRAM https://www.instagram.com/cindycebreros/

TIK TOK https://vm.tiktok.com/J2jrNNL/",216282,1,24579,False,327,822,False
5,9GZ-1yrOaS4,2020-12-17T19:00:10Z,Faruz Feet - Hijo de Papi (Video Oficial),UCyVy4S_1se6l-8u14eSMalg,"Faruz Feet - Hijo de Papi (Video Oficial)
#FaruzFeet #HijoDePapi

Suscríbete a mi canal haciendo click aquí👉 https://cutt.ly/ryQOb4S

Single del próximo álbum ""FARUZ FIT VOL 1"" 
Fecha de lanzamiento: Dic - 18 - 2020 en todas las plataformas.

🎧 Escucha a Faruz Feet en todas las plataformas digitales: https://ONErpm.lnk.to/FaruzFeet

Instagram/faruzfeet
Facebook/faruzfeet

Escucha la playlist oficial Nación Hip Hop🔥 https://ONErpm.lnk.to/NacionHipHop

Beat, mezcla y master :  @kid kong 
Camara: @TEA INFANTE 
Fotografía: Andres Guevara
Edición & VFX: Audioviral

Agradecimientos 

AKSystems - Arturo Aguilar
Daniel Bernal - Tricampeón de resistencia (Calistenia) en México
Edgar Cruz & Christian Cruz 1er lugar Novatos Mr Mexico
@LookSportMX
Danny_Vtec",71066,1,10271,False,109,765,False
6,_uFU0as_98c,2020-12-17T01:26:00Z,Rauw Alejandro – No te Creo (Live Performance) | Artist on the Rise,UC_Av98lDjf5KvFib5elhpYg,Rauw Alejandro performs his latest single “No Te Creo” live in Miami for YouTube Music’s Artist on the Rise.,872729,1,16996,False,554,822,False
7,oHmj5xETHEY,2020-12-17T19:59:49Z,The Best FIFA Football Awards™ 2020 | Full Show,UCpcTrCXblq78GZrTUTLWeBw,"** Show starts at 29:45 **

The Best FIFA Football Awards™ 2020 took place on 17 December 2020 as a virtual event in Zurich. 

Countdown: 00:01
Show starts: 29:45
The Best FIFA Women’s Goalkeeper Award: 41:15
The Best FIFA Men’s Goalkeeper Award: 46:55 
The FIFA Puskas Award: 51:50
The Best FIFA Women’s Coach Award: 59:43
The Best FIFA Men’s Coach Award: 1:05:22
The FIFA Fair Play Award: 1:13:40
The FIFA Fan Award: 1:17:55
Christine Sinclair: 1:22:45
FIFA FIFPRO Women’s World11: 1:26:51 
FIFA FIFPRO Men’s World11: 1:31:58
Diego Maradona Tribute: 1:38:10
Paolo Rossi Tribute: 1:50:35
The Best FIFA Women’s Player Award: 1:56:15
The Best FIFA Men’s Player Award: 2:04:38
Outro: 2:11:10

More on #TheBest FIFA Football Awards:
https://www.fifa.com/the-best-fifa-football-awards/ 

Follow the FIFA Football Awards on Facebook:
https://www.facebook.com/FIFAFootballAwards",5212097,1,201729,False,2711,2017,False
8,TPYPbyc-R8E,2020-12-17T01:10:43Z,Creo Que Encontré La PEOR película de NAVIDAD 🤮,UCapRTMkO4n3LP5dkmIayy5A,"Parece que encontré la película de navidad más rara de la historia

Segundo canal: 
https://www.youtube.com/channel/UC547RK-4Q0TYMkermnJV3mw
¡Sigueme en Instagram! @donjexs
https://www.instagram.com/donjexs
*SUSCRIBETE (GRATIS)*
https://bit.ly/2KbZyuJ
¡Dale like a mi pagina de Facebook!
https://www.facebook.com/JexsOficial
¡Contactame!
contactojexs@gmail.com",586817,1,91178,False,586,5673,False
9,8xIplL-WUlU,2020-12-17T19:00:02Z,4 PELÍCULAS DE NAVIDAD | Especial Navideño,UC1P7uWBazrqughX3FV-KLbA,"Algunas son buenas, otras son malas, pero las 4 son clásicos.
#EspecialNavideño2020
Twitter► https://twitter.com/Axl_Kss
Facebook► https://www.facebook.com/axlkssoficial 
Gameplays► https://www.youtube.com/user/axlfps
Instagram► https://www.instagram.com/axlwtf/
.Musica de la biblioteca de Youtube
http://creativecommons.org/licenses/by/3.0/",203926,1,35734,False,161,2875,False
